1722,pandacoin-pnd,Pandacoin Pnd,2018-01-15 20:40:27.643,PND
1723,bean-cash,Bean Cash,2018-01-15 20:40:27.643,BITB
1724,nushares,Nushares,2018-01-15 20:40:27.643,NSR
1725,propy,Propy,2018-01-15 20:40:27.643,PRO
1726,myriad,Myriad,2018-01-15 20:40:27.643,XMY
1727,rivetz,Rivetz,2018-01-15 20:40:27.643,RVT
1728,stox,Stox,2018-01-15 20:40:27.643,STX
1729,maecenas,Maecenas,2018-01-15 20:40:27.643,ART
1730,okcash,Okcash,2018-01-15 20:40:27.647,OK
1731,neoscoin,Neoscoin,2018-01-15 20:40:27.647,NEOS
1732,radium,Radium,2018-01-15 20:40:27.647,RADS
1733,blockmason,Blockmason,2018-01-15 20:40:27.647,BCPT
1734,rialto,Rialto,2018-01-15 20:40:27.647,XRL
1735,monetaryunit,Monetaryunit,2018-01-15 20:40:27.647,MUE
1736,omni,Omni,2018-01-15 20:40:27.647,OMNI
1737,nexium,Nexium,2018-01-15 20:40:27.647,NXC
1738,bounty0x,Bounty0x,2018-01-15 20:40:27.647,BNTY
1739,asiacoin,Asiacoin,2018-01-15 20:40:27.647,AC
1740,open-trading-network,Open Trading Network,2018-01-15 20:40:27.650,OTN
1741,credo,Credo,2018-01-15 20:40:27.650,CREDO
1742,ethereum-blue,Ethereum Blue,2018-01-15 20:40:27.650,BLUE
1743,alqo,Alqo,2018-01-15 20:40:27.650,ALQO
1744,target-coin,Target Coin,2018-01-15 20:40:27.650,TGT
1745,rubycoin,Rubycoin,2018-01-15 20:40:27.650,RBY
1746,atbcoin,Atbcoin,2018-01-15 20:40:27.650,ATB
1747,hedge,Hedge,2018-01-15 20:40:27.650,HDG
1748,patientory,Patientory,2018-01-15 20:40:27.650,PTOY
1749,investfeed,Investfeed,2018-01-15 20:40:27.650,IFT
1750,bismuth,Bismuth,2018-01-15 20:40:27.650,BIS
1751,databits,Databits,2018-01-15 20:40:27.650,DTB
1752,alis,Alis,2018-01-15 20:40:27.650,ALIS
1753,oax,Oax,2018-01-15 20:40:27.650,OAX
1754,xenon,Xenon,2018-01-15 20:40:27.650,XNN
1755,aeron,Aeron,2018-01-15 20:40:27.653,ARN
1756,bcap,Bcap,2018-01-15 20:40:27.653,BCAP
1757,colossuscoinxt,Colossuscoinxt,2018-01-15 20:40:27.653,COLX
1758,steem-dollars,Steem Dollars,2018-01-15 20:40:27.653,SBD
1759,kickico,Kickico,2018-01-15 20:40:27.653,KICK
1760,change,Change,2018-01-15 20:40:27.653,CAG
1761,verify,Verify,2018-01-15 20:40:27.653,CRED
1762,life,Life,2018-01-15 20:40:27.653,LIFE
1763,posw-coin,Posw Coin,2018-01-15 20:40:27.653,POSW
1764,mybit-token,Mybit Token,2018-01-15 20:40:27.653,MYB
1765,paragon,Paragon,2018-01-15 20:40:27.657,PRG
1766,florincoin,Florincoin,2018-01-15 20:40:27.657,FLO
1767,playkey,Playkey,2018-01-15 20:40:27.657,PKT
1768,blackmoon-crypto,Blackmoon Crypto,2018-01-15 20:40:27.657,BMC
1769,incent,Incent,2018-01-15 20:40:27.657,INCNT
1770,lomocoin,Lomocoin,2018-01-15 20:40:27.657,LMC
1771,energycoin,Energycoin,2018-01-15 20:40:27.657,ENRG
1772,swarm-city,Swarm City,2018-01-15 20:40:27.657,SWT
1773,elixir,Elixir,2018-01-15 20:40:27.657,ELIX
1774,bitcrystals,Bitcrystals,2018-01-15 20:40:27.657,BCY
1775,linda,Linda,2018-01-15 20:40:27.660,LINDA
1776,decent-bet,Decent Bet,2018-01-15 20:40:27.660,DBET
1777,blockcat,Blockcat,2018-01-15 20:40:27.660,CAT
1778,fedoracoin,Fedoracoin,2018-01-15 20:40:27.660,TIPS
1779,foldingcoin,Foldingcoin,2018-01-15 20:40:27.660,FLDC
1780,obsidian,Obsidian,2018-01-15 20:40:27.660,ODN
1781,clams,Clams,2018-01-15 20:40:27.660,CLAM
1782,circuits-of-value,Circuits Of Value,2018-01-15 20:40:27.660,COVAL
1783,global-currency-reserve,Global Currency Reserve,2018-01-15 20:40:27.660,GCR
1784,mintcoin,Mintcoin,2018-01-15 20:40:27.660,MINT
1785,soarcoin,Soarcoin,2018-01-15 20:40:27.660,SOAR
1786,luxcoin,Luxcoin,2018-01-15 20:40:27.660,LUX
1787,musicoin,Musicoin,2018-01-15 20:40:27.660,MUSIC
1788,heat-ledger,Heat Ledger,2018-01-15 20:40:27.663,HEAT
1789,monacocoin,Monacocoin,2018-01-15 20:40:27.663,XMCC
1790,ongsocial,Ongsocial,2018-01-15 20:40:27.663,ONG
1791,internet-of-people,Internet Of People,2018-01-15 20:40:27.663,IOP
1792,icos,Icos,2018-01-15 20:40:27.663,ICOS
1793,gobyte,Gobyte,2018-01-15 20:40:27.663,GBX
1794,flixxo,Flixxo,2018-01-15 20:40:27.663,FLIXX
1795,oraclechain,Oraclechain,2018-01-15 20:40:27.663,OCT
1796,mysterium,Mysterium,2018-01-15 20:40:27.663,MYST
1797,artbyte,Artbyte,2018-01-15 20:40:27.663,ABY
1798,waves-community-token,Waves Community Token,2018-01-15 20:40:27.663,WCT
1799,gambit,Gambit,2018-01-15 20:40:27.667,GAM
1800,xaurum,Xaurum,2018-01-15 20:40:27.667,XAUR
1801,stealthcoin,Stealthcoin,2018-01-15 20:40:27.667,XST
1802,pirl,Pirl,2018-01-15 20:40:27.667,PIRL
1803,publica,Publica,2018-01-15 20:40:27.667,PBL
1804,payfair,Payfair,2018-01-15 20:40:27.667,PFR
1805,bulwark,Bulwark,2018-01-15 20:40:27.667,BWK
1806,bitqy,Bitqy,2018-01-15 20:40:27.667,BQ
1807,bitsend,Bitsend,2018-01-15 20:40:27.667,BSD
1808,dao-casino,Dao Casino,2018-01-15 20:40:27.667,BET
1809,neutron,Neutron,2018-01-15 20:40:27.670,NTRN
1810,aventus,Aventus,2018-01-15 20:40:27.670,AVT
1811,sequence,Sequence,2018-01-15 20:40:27.670,SEQ
1812,autonio,Autonio,2018-01-15 20:40:27.670,NIO
1813,leocoin,Leocoin,2018-01-15 20:40:27.670,LEO
1814,bitusd,Bitusd,2018-01-15 20:40:27.670,BITUSD
1815,chronobank,Chronobank,2018-01-15 20:40:27.670,TIME
1816,mercury-protocol,Mercury Protocol,2018-01-15 20:40:27.670,GMT
1817,polybius,Polybius,2018-01-15 20:40:27.670,PLBT
1818,lockchain,Lockchain,2018-01-15 20:40:27.670,LOC
1819,oxycoin,Oxycoin,2018-01-15 20:40:27.670,OXY
1820,e-coin,E Coin,2018-01-15 20:40:27.670,ECN
1821,quantum,Quantum,2018-01-15 20:40:27.670,QAU
1822,primas,Primas,2018-01-15 20:40:27.673,PST
1823,upfiring,Upfiring,2018-01-15 20:40:27.673,UFR
1824,zoin,Zoin,2018-01-15 20:40:27.673,ZOI
1825,espers,Espers,2018-01-15 20:40:27.673,ESP
1826,solaris,Solaris,2018-01-15 20:40:27.673,XLR
1827,boolberry,Boolberry,2018-01-15 20:40:27.673,BBR
1828,unobtanium,Unobtanium,2018-01-15 20:40:27.673,UNO
1829,qunqun,Qunqun,2018-01-15 20:40:27.673,QUN
1830,atlant,Atlant,2018-01-15 20:40:27.673,ATL
1831,vcash,Vcash,2018-01-15 20:40:27.677,XVC
1832,social-send,Social Send,2018-01-15 20:40:27.677,SEND
1833,primecoin,Primecoin,2018-01-15 20:40:27.677,XPM
1834,atmos,Atmos,2018-01-15 20:40:27.677,ATMS
1835,geocoin,Geocoin,2018-01-15 20:40:27.677,GEO
1836,bitdice,Bitdice,2018-01-15 20:40:27.677,CSNO
1837,audiocoin,Audiocoin,2018-01-15 20:40:27.677,ADC
1838,earthcoin,Earthcoin,2018-01-15 20:40:27.677,EAC
1839,russian-mining-coin,Russian Mining Coin,2018-01-15 20:40:27.677,RMC
1840,obits,Obits,2018-01-15 20:40:27.677,OBITS
1841,pinkcoin,Pinkcoin,2018-01-15 20:40:27.677,PINK
1842,mywish,Mywish,2018-01-15 20:40:27.680,WISH
1843,hush,Hush,2018-01-15 20:40:27.680,HUSH
1844,bitdeal,Bitdeal,2018-01-15 20:40:27.680,BDL
1845,ecobit,Ecobit,2018-01-15 20:40:27.680,ECOB
1846,firstcoin,Firstcoin,2018-01-15 20:40:27.680,FRST
1847,adshares,Adshares,2018-01-15 20:40:27.680,ADST
1848,cvcoin,Cvcoin,2018-01-15 20:40:27.680,CVCOIN
1849,sumokoin,Sumokoin,2018-01-15 20:40:27.680,SUMO
1850,trezarcoin,Trezarcoin,2018-01-15 20:40:27.680,TZC
1851,magnet,Magnet,2018-01-15 20:40:27.680,MAG
1852,sportyfi,Sportyfi,2018-01-15 20:40:27.680,SPF
1853,vsync-vsx,Vsync Vsx,2018-01-15 20:40:27.680,VSX
1854,sphere,Sphere,2018-01-15 20:40:27.680,SPHR
1855,bitmark,Bitmark,2018-01-15 20:40:27.683,BTM
1856,pluton,Pluton,2018-01-15 20:40:27.683,PLU
1857,opus,Opus,2018-01-15 20:40:27.683,OPT
1858,etheroll,Etheroll,2018-01-15 20:40:27.683,DICE
1859,spreadcoin,Spreadcoin,2018-01-15 20:40:27.683,SPR
1860,curecoin,Curecoin,2018-01-15 20:40:27.683,CURE
1861,lampix,Lampix,2018-01-15 20:40:27.683,PIX
1862,bonpay,Bonpay,2018-01-15 20:40:27.683,BON
1863,innova,Innova,2018-01-15 20:40:27.683,INN
1864,prochain,Prochain,2018-01-15 20:40:27.683,PRO
